USGS_eventID,magnitude,depth(km),source_lat,source_lon,rake_angle,station_name,station_type,elev(m),station_lat,station_lon,rdist(km),fault_type,Ia_geom,Ia_arith,Ia_max,CAV_geom,CAV_arith,CAV_max,CAV5_geom,CAV5_arith,CAV5_max,CAVstd_geom,CAVstd_arith,CAVstd_max,Vs30,PGA,PGV
usp000d6vk,6.6,16,37.226,138.779,,TYM004,Knet,,36.8624,137.5274,128.2641304,,6.36E-05,6.39E-05,7.06E-05,107.5065444,107.5651635,111.1158415,14.32749918,14.49332056,16.67943767,0,0,0,396.2,,
usp000d6vk,6.6,16,37.226,138.779,,TYM005,Knet,,36.7824,137.0803,168.680718,,5.38E-05,5.38E-05,5.52E-05,144.8895029,144.9006435,146.697431,6.371122461,6.454448801,7.488232099,0,0,0,181.7,,
usp000d6vk,6.6,16,37.226,138.779,,TYM007,Knet,,36.6686,137.2114,162.7838618,,2.17E-05,2.21E-05,2.62E-05,69.9342032,70.12721949,75.32665567,1.911895732,2.498634494,4.107307565,0,0,0,255.4,,
usp000d6vk,6.6,16,37.226,138.779,,TYM008,Knet,,36.6086,137.2831,160.1158306,,1.76E-05,1.76E-05,1.88E-05,66.63083095,66.63306618,67.17884583,1.012203992,1.015412633,1.096071751,0,0,0,360.7,,
usp000d6vk,6.6,16,37.226,138.779,,TYM009,Knet,,36.5864,137.1406,172.5257981,,3.98E-05,3.98E-05,4.06E-05,100.6402657,100.6403479,100.7689904,7.303896754,7.33104948,7.961429272,0,0,0,343,,
usp000d6vk,6.6,16,37.226,138.779,,TYM011,Knet,,36.5781,137.385,153.9146054,,1.97E-05,2.01E-05,2.38E-05,59.78926105,59.99357356,64.94060618,2.080305946,2.399964427,3.596691805,0,0,0,381.9,,
usp000d6vk,6.6,16,37.226,138.779,,YMN001,Knet,,35.7895,138.9198,166.6871079,,8.88E-06,8.91E-06,9.53E-06,38.76409914,38.84377367,41.33041199,0.273191532,0.277838119,0.328438586,0,0,0,682.6,,
usp000d6vk,6.6,16,37.226,138.779,,YMN002,Knet,,35.6132,138.947,186.3191992,,1.29E-05,1.30E-05,1.45E-05,51.4721942,51.57059627,54.75487398,0.33350307,0.363380243,0.507674745,0,0,0,287.9,,
usp000d6vk,6.6,16,37.226,138.779,,YMN003,Knet,,35.4648,138.813,202.7041101,,9.57E-06,9.57E-06,9.83E-06,49.08808961,49.09385001,49.84589204,0,0,0,0,0,0,409.8,,
usp000d6vk,6.6,16,37.226,138.779,,YMN004,Knet,,35.702,138.7266,176.7766015,,1.06E-05,1.07E-05,1.16E-05,49.62089453,49.6583007,51.58538514,0.075677339,0.081848092,0.113025818,0,0,0,301.1,,
